Name,Affiliation,Abilities,Transformation/Alternate Mode,Image URL,Description,Quote
Smokescreen,Autobot,"Distraction, Stealth, Combat skills",Sports Car,https://tfwiki.net/mediawiki/images2/thumb/0/06/Dreamwave-G1-MTMTE-Smokescreen.jpg/377px-Dreamwave-G1-MTMTE-Smokescreen.jpg,"Smokescreen is a master of misdirection, using smoke clouds and other tricks to confuse his enemies. His skill at creating distractions makes him an excellent tactician. Despite his name, Smokescreen is incredibly loyal and honest with his fellow Autobots.",There's more to winning than just firepower.
Hoist,Autobot,"Repair, Engineering",Tow Truck,https://tfwiki.net/mediawiki/images2/thumb/2/2d/G1Hoist_MTMTE.jpg/459px-G1Hoist_MTMTE.jpg,"Hoist is the Autobots' repair specialist, always ready to fix his comrades after a tough battle. He is patient and methodical in his work, ensuring that every repair is done to perfection. Though he's not the fastest or strongest, his skills are vital to the Autobots' survival.",No Autobot left behind!
Inferno,Autobot,"Firefighting, Combat skills",Fire Truck,https://tfwiki.net/mediawiki/images2/thumb/9/90/G1_Inferno_profilecollection1.jpg/436px-G1_Inferno_profilecollection1.jpg,"Inferno is a fearless Autobot firefighter who rushes into danger without hesitation. His primary role is saving lives, but he's also a skilled fighter who can hold his own in combat. Inferno's bravery and selflessness are matched only by his dedication to protecting others.","Where there's fire, there's Inferno!"
Skids,Autobot,"Data analysis, Intelligence",Hatchback Car,https://tfwiki.net/mediawiki/images2/thumb/6/69/Skidsg1.jpg/415px-Skidsg1.jpg,"Skids is a highly intelligent and curious Autobot who loves to learn. He spends much of his time analyzing data and coming up with new strategies for the Autobots. Though not the most powerful warrior, his intellect makes him a valuable asset to the team.",Knowledge is power.
Brawn,Autobot,"Strength, Endurance, Combat skills",Off-Road Vehicle,https://tfwiki.net/mediawiki/images2/a/aa/XBrawnModel.jpg,"Brawn is one of the strongest Autobots, known for his toughness and endurance. He relishes any challenge that tests his physical strength and has a no-nonsense attitude toward combat. Brawn's grit and determination make him a cornerstone of the Autobot forces.",No job's too tough for me!
Huffer,Autobot,"Engineering, Strength",Semi-Truck,https://tfwiki.net/mediawiki/images2/thumb/1/13/Hufferg1.jpg/360px-Hufferg1.jpg,"Huffer is a pessimist who often complains about the situations the Autobots find themselves in, but when it comes down to it, he gets the job done. His engineering skills are second to none, and he can haul massive loads with ease. Despite his grumbling, Huffer is a reliable ally.","If it's gonna break, it'll break on me."
Gears,Autobot,"Strength, Endurance, Grumpy attitude",Off-Road Vehicle,https://tfwiki.net/mediawiki/images2/thumb/4/41/Gearsg1.jpg/328px-Gearsg1.jpg,"Gears is a gruff and grumpy Autobot who prefers solitude to the company of others. Despite his surly demeanor, he is incredibly dependable and strong, often taking on the most physically demanding tasks. His grumbling hides a deep sense of duty and loyalty to his fellow Autobots.","I don't like it, but I'll do it."
Seaspray,Autobot,"Naval combat, Stealth, Speed",Hovercraft,https://tfwiki.net/mediawiki/images2/thumb/9/99/G1SeasprayColorModel.jpg/343px-G1SeasprayColorModel.jpg,"Seaspray is the Autobots' naval specialist, patrolling the seas and engaging in aquatic combat. He's agile on water and can evade enemy attacks with ease. Though he prefers the ocean to dry land, he is a loyal and brave warrior who always answers the call to battle.",The sea is my domain!
Powerglide,Autobot,"Flight, Aerial combat, Acrobatics",A-10 Thunderbolt Plane,https://tfwiki.net/mediawiki/images2/thumb/3/32/MTMTEPowerglide.jpg/491px-MTMTEPowerglide.jpg,"Powerglide is one of the few Autobots capable of flight. He revels in aerial combat, showing off his acrobatic skills in the sky. Though he can be a bit of a showoff, his flying prowess and combat skills are second to none.","When you've got wings, why walk?"
Cosmos,Autobot,"Space travel, Reconnaissance",UFO,https://tfwiki.net/mediawiki/images2/thumb/2/2d/G1CosmosColorModel.jpg/486px-G1CosmosColorModel.jpg,"Cosmos is the Autobots' space explorer, tasked with monitoring the vastness of space and gathering intelligence. His small size and UFO form make him perfect for covert missions. Though he often feels isolated in space, he is a loyal and reliable ally.","It's lonely out here, but someone's gotta do it."
Perceptor,Autobot,"Scientific analysis, Intelligence",Microscope,https://tfwiki.net/mediawiki/images2/thumb/f/f4/G1_Perceptor_reissueart.jpg/394px-G1_Perceptor_reissueart.jpg,"Perceptor is the Autobots' resident scientist, constantly analyzing data and coming up with new inventions. His brilliance is unmatched, and his discoveries often turn the tide in battle. While he prefers science to combat, Perceptor will fight when necessary to protect his comrades.",Science is the key to our survival.
Blaster,Autobot,"Communication, Combat skills",Boombox,https://tfwiki.net/mediawiki/images2/thumb/6/67/SDCCBlasterBoxArt.jpg/446px-SDCCBlasterBoxArt.jpg,"Blaster is the Autobots' communications officer, skilled in intercepting Decepticon transmissions and relaying vital information. He's always in tune with the latest music and brings a fun, energetic vibe to the Autobots' ranks. Blaster's quick thinking and combat skills make him a valuable team member.",Let's crank up the volume and take it to the Decepticons!
Omega Supreme,Autobot,"Immense strength, Flight, Energy blasts",Base/Spacecraft,https://tfwiki.net/mediawiki/images2/f/fe/WFC_OmegaSupreme.jpg,"Omega Supreme is the Autobots' last line of defense, a towering giant who can transform into a space station and rocket. He rarely speaks but is fiercely loyal to the Autobot cause. Omega's incredible strength makes him almost unstoppable in battle, and his presence is enough to inspire fear in any Decepticon.",I am Omega Supreme. My duty is protection.
Alpha Trion,Autobot,"Wisdom, Knowledge, Leadership",Cybertronian Starship,https://tfwiki.net/mediawiki/images2/1/15/AlphaTrionG1-Legendsartclean.jpg,"Alpha Trion is one of the oldest and wisest Autobots, a mentor to many, including Optimus Prime. He is a keeper of ancient Cybertronian knowledge and a symbol of hope and wisdom for the Autobots. His vast understanding of the Matrix of Leadership makes him an invaluable guide.",The future is forged from the knowledge of the past.
Sandstorm,Autobot,"Triple Changer, Combat skills, Speed",Dune Buggy/Helicopter,https://tfwiki.net/mediawiki/images2/3/38/SandstormAutobot1.jpg,"Sandstorm is a fearless Triple Changer who can transform into both a helicopter and a dune buggy, making him adept at navigating difficult terrains. He thrives on action and excitement, often rushing headlong into battle. Sandstorm's bravery and optimism make him a valuable asset to the Autobots, though his recklessness can get him into trouble.","Life's a ride! Better buckle up, because I'm just getting started!"
Grimlock,Autobot,"Strength, Combat skills, Leadership",Tyrannosaurus Rex,https://tfwiki.net/mediawiki/images2/7/75/AOE_Grimlock_concept.jpg,"Grimlock is the powerful leader of the Dinobots, transforming into a fierce Tyrannosaurus Rex. Though he often speaks in a simple and gruff manner, Grimlock is a capable leader who values strength and loyalty. His brute force and combat prowess make him one of the most feared Autobots in battle.",Me Grimlock king!
Slag,Autobot,"Strength, Combat skills, Durability",Triceratops,https://tfwiki.net/mediawiki/images2/3/3c/TFCC-22-profile-Classics-Slag.jpg,"Slag is the Dinobots' heavy hitter, transforming into a powerful Triceratops. He is known for his fiery temper and destructive nature, even clashing with his fellow Autobots at times. Slag's incredible strength makes him a force to be reckoned with, but his lack of patience can lead to reckless actions.",Slag smash! That's all you need to know.
Blitzwing,Decepticon,"Triple Changer, Strength, Combat skills",Tank/Jet,https://tfwiki.net/mediawiki/images2/thumb/f/f1/Blitzwingg1.jpg/350px-Blitzwingg1.jpg,"Blitzwing is a fierce Decepticon warrior with the ability to transform into both a tank and a jet. His versatility in battle makes him a powerful asset to the Decepticons. Blitzwing enjoys combat, though his unpredictable temper can sometimes be a liability in high-pressure situations.","Two modes of destruction, double the fun!"
Scourge,Decepticon,"Tracking, Stealth, Combat skills",Cybertronian Hovercraft,https://tfwiki.net/mediawiki/images2/3/33/Black_Convoy.jpg,"Scourge is a hunter and tracker for the Decepticons, known for his relentless pursuit of Autobots. He is cunning and stealthy, often striking from the shadows before his enemies know what hit them. Scourge's loyalty to Galvatron and his desire to prove himself make him a dangerous adversary.",No Autobot can escape my sights!
Astrotrain,Decepticon,"Triple Changer, Strength, Space travel",Space Shuttle/Train,https://tfwiki.net/mediawiki/images2/thumb/8/8f/Astrotrain-Cyberverse-Boulder-model.jpg/423px-Astrotrain-Cyberverse-Boulder-model.jpg,"Astrotrain is a powerful Decepticon who can transform into both a train and a space shuttle. His ability to transport troops and supplies across great distances makes him invaluable in Decepticon campaigns. Though often tasked with logistics, Astrotrain enjoys the thrill of combat just as much as his fellow Decepticons.",All aboard the pain train!
Cyclonus,Decepticon,"Flight, Strength, Combat skills",Cybertronian Jet,https://tfwiki.net/mediawiki/images2/a/a5/GHC_Cyclonus_Sandstorm.jpg,"Cyclonus is a loyal and formidable Decepticon warrior, serving as Galvatron's right hand. He is highly intelligent, strategic, and unwavering in his loyalty to his leader. Cyclonus is a dangerous foe in both aerial combat and hand-to-hand fighting, always fighting with precision and focus.","My loyalty is to Galvatron, and I will see his will done."
Devcon,Autobot,"Bounty hunting, Combat skills, Flight",Cybertronian Jet,https://tfwiki.net/mediawiki/images2/b/b5/Devconbodiesprofile.jpg,"Devcon is a lone Autobot bounty hunter, often operating outside of the main Autobot forces. His mission is to track down rogue Decepticons and bring them to justice. Although he prefers working alone, Devcon's sense of justice and duty make him a trusted ally when needed.",There's nowhere you can run that I won't find you.
Sky Lynx,Autobot,"Flight, Combat skills, Intelligence",Space Shuttle/Dino-Bird,https://tfwiki.net/mediawiki/images2/6/6a/Sky_lynx.jpg,"Sky Lynx is a highly intelligent and prideful Autobot who can transform into a space shuttle and a robotic dinosaur-bird hybrid. He is a skilled flyer and a brilliant strategist, often leading aerial missions with both brains and brawn. His self-confidence sometimes borders on arrogance, but his capabilities are undeniable.","Of course I'm the best! Now, let's show those Decepticons what excellence looks like."
Galvatron,Decepticon,"Strength, Leadership, Combat skills",Cybertronian Cannon,https://tfwiki.net/mediawiki/images2/4/49/GalvatronDreamwaveMTME.jpg,"Galvatron is the powerful and ruthless leader of the Decepticons, reborn from the ashes of Megatron. He is more powerful, more dangerous, and more unhinged than ever before. Galvatron's desire for power and control drives him to extreme lengths, making him a relentless enemy of the Autobots.","I am Galvatron, and I will rule the universe!"
Snarl,Autobot,"Strength, Combat skills, Solar energy absorption",Stegosaurus,https://tfwiki.net/mediawiki/images2/thumb/3/3a/BoUK_Dinobots_2a_.jpg/300px-BoUK_Dinobots_2a_.jpg,"Snarl is a Dinobot who transforms into a Stegosaurus, absorbing solar energy to increase his strength in battle. He is a stoic and silent warrior, preferring to let his actions speak for themselves. Snarl's toughness and durability make him a valuable member of the Dinobot team.","Silent, strong, and ready to smash Decepticons."
Swoop,Autobot,"Flight, Combat skills, Agility",Pteranodon,https://tfwiki.net/mediawiki/images2/thumb/5/50/TVMagSwoop.jpg/300px-TVMagSwoop.jpg,"Swoop is the aerial Dinobot, transforming into a swift and deadly Pteranodon. His ability to fly gives the Dinobots a tactical advantage in battles, allowing him to strike from above. Swoop is known for his cheerful and friendly nature, contrasting with the more aggressive personalities of his fellow Dinobots.","Flying is fun, but smashing Decepticons is better!"
Slingshot,Autobot,"Aerial combat, Speed, Agility",AV-8B Harrier Jet,https://tfwiki.net/mediawiki/images2/thumb/f/ff/TFU_Slingshot.jpg/266px-TFU_Slingshot.jpg,"Slingshot is the cocky and boastful Aerialbot who loves to show off his flying skills. He transforms into a Harrier jet, giving him the unique ability to hover in mid-air. While his confidence can be grating to others, Slingshot's aerial combat skills are undeniable, and he's always eager to prove himself in battle.",You can't hit what you can't catch!
Fireflight,Autobot,"Aerial combat, Recklessness, Speed",F-4 Phantom Jet,https://tfwiki.net/mediawiki/images2/thumb/d/d4/DW_G1Fireflight.jpg/451px-DW_G1Fireflight.jpg,"Fireflight is a daredevil Aerialbot who loves flying, sometimes to the point of distraction. He transforms into an F-4 Phantom jet and often finds himself in dangerous situations due to his carefree attitude. Despite his recklessness, Fireflight's aerial agility makes him a skilled combatant when the stakes are high.","Flying's not just a job, it's a thrill ride!"
Superion,Autobot,"Aerial combat, Strength, Combiner",Super Jet Combiner,https://tfwiki.net/mediawiki/images2/thumb/d/da/Superion_studioox.jpg/287px-Superion_studioox.jpg,"Superion is the combined form of the Aerialbots, bringing together their strengths into one powerful warrior. As a combiner, Superion is incredibly strong and highly resistant to damage. His singular focus on defeating the Decepticons makes him a relentless force on the battlefield, but his rigid personality can sometimes make him difficult to work with.",Logic dictates only one course: destroy all Decepticons.
Streetwise,Autobot,"Tactical combat, Surveillance",Police Car,https://tfwiki.net/mediawiki/images2/thumb/2/29/Streetwise_g1_boxart.jpg/462px-Streetwise_g1_boxart.jpg,"Streetwise is the Protectobot responsible for tactical analysis and surveillance. He transforms into a sleek police car and uses his speed and intelligence to outsmart his opponents. Streetwise's attention to detail makes him an excellent investigator, though his tendency to take risks can sometimes land him in trouble.",The key to victory? Outthink and outmaneuver.
Groove,Autobot,"Speed, Combat skills, Agility",Motorcycle,https://tfwiki.net/mediawiki/images2/thumb/b/b5/TFU_Groove.jpg/260px-TFU_Groove.jpg,"Groove is the peace-loving member of the Protectobots who transforms into a motorcycle. Despite his pacifist nature, Groove is a capable fighter who uses his speed and agility to avoid direct confrontation. He would rather solve conflicts diplomatically but is always ready to protect his friends when necessary.","I'd rather ride free than fight, but if I must, I'll do what's right."
First Aid,Autobot,"Repair skills, Medical expertise",Ambulance,https://tfwiki.net/mediawiki/images2/thumb/3/3a/TFU_First_Aid.jpg/250px-TFU_First_Aid.jpg,"First Aid is the compassionate and caring medic of the Protectobots. He transforms into an ambulance and is dedicated to helping both Autobots and humans in need. First Aid's calm and gentle nature makes him a trusted friend and healer, though he dislikes violence and would rather repair than fight.",I can fix just about anything—except a broken heart.
Hot Spot,Autobot,"Leadership, Strength, Firefighting skills",Fire Truck,https://tfwiki.net/mediawiki/images2/thumb/4/47/TFU_Hotspot.jpg/288px-TFU_Hotspot.jpg,"Hot Spot is the brave and determined leader of the Protectobots. He transforms into a fire truck and is always ready to rush into danger to save lives. Hot Spot's leadership and courage inspire his team to fight for justice and protect the innocent, no matter the risk.","There's always someone to save, and I'll be the first to answer the call!"
Defensor,Autobot,"Strength, Defense, Combiner",Protectobot Combiner,https://tfwiki.net/mediawiki/images2/thumb/2/2d/G1Defensor-VisualWorks.jpg/416px-G1Defensor-VisualWorks.jpg,"Defensor is the combined form of the Protectobots, a towering warrior dedicated to defending the weak and protecting the innocent. As a combiner, Defensor embodies the strength and resolve of his team, using his immense power to shield others from harm. His defensive nature makes him a steadfast guardian on the battlefield.","In unity, there is strength, and we will defend the helpless at all costs."
Elita One,Autobot,"Leadership, Combat skills, Intelligence",Cybertronian Car,https://tfwiki.net/mediawiki/images2/thumb/7/73/MCA-ElitaOne.jpg/205px-MCA-ElitaOne.jpg,"Elita One is a strong and determined Autobot leader, commanding a group of resistance fighters. She is a capable warrior and strategist, fiercely devoted to the Autobot cause. Elita One's leadership and courage make her a formidable ally in the fight against the Decepticons, and she shares a close bond with Optimus Prime.","We fight not for glory, but for the future of all."
Chromia,Autobot,"Combat skills, Agility, Intelligence",Cybertronian Motorcycle,https://tfwiki.net/mediawiki/images2/thumb/3/38/Chromia-Saren_Stone-WindbladeV1.jpg/375px-Chromia-Saren_Stone-WindbladeV1.jpg,"Chromia is a skilled and confident Autobot warrior who serves alongside Elita One. She transforms into a sleek motorcycle, allowing her to move quickly and strike with precision. Chromia's fierce loyalty and quick thinking make her a valuable ally in battle, though she is always ready to challenge authority if needed.","I fight for what I believe in, and I never back down."
Brawl,Decepticon,"Strength, Heavy artillery, Combat skills",Tank,https://tfwiki.net/mediawiki/images2/3/31/MTMTEBrawl.jpg,"Brawl is a Decepticon who transforms into a powerful tank. He thrives in battle, often charging headfirst into combat with his heavy artillery. Brawl is known for his brute force and willingness to take on multiple opponents at once, relishing the chaos of war.",Bring it on! I love a good fight!
Swindle,Decepticon,"Sabotage, Tactics, Combat skills",Military Vehicle,https://tfwiki.net/mediawiki/images2/2/2d/FOC-HMS-render-Swindle-robot_mode.jpg,"Swindle is a cunning Decepticon who transforms into a military vehicle. He is a master of deception and sabotage, often using his wits to outsmart opponents. Swindle is always looking for a way to profit from conflicts, making him a tricky adversary for Autobots.",You want it? I've got it—for a price!
Firestar,Autobot,"Strength, Combat skills, Engineering",Cybertronian Truck,https://tfwiki.net/mediawiki/images2/thumb/4/44/Firestar_color_model.jpg/250px-Firestar_color_model.jpg,"Firestar is a strong and resourceful Autobot who serves as both a warrior and an engineer. She is known for her resilience and determination in battle, always finding a way to overcome obstacles. Firestar's technical skills make her a valuable asset on and off the battlefield, and her fiery spirit drives her to protect her friends at all costs.","When the going gets tough, the tough get Firestar."
Moonracer,Autobot,"Agility, Marksmanship, Combat skills",Cybertronian Car,https://tfwiki.net/mediawiki/images2/thumb/7/71/Moonracer-paintmodelsheet.jpg/270px-Moonracer-paintmodelsheet.jpg,"Moonracer is a cheerful and optimistic Autobot who excels at sharpshooting. She transforms into a sleek car and is known for her accuracy in battle. Moonracer's positive attitude and enthusiasm make her a beloved member of the Autobot team, and she is always eager to prove her skills in combat.",Just because I'm having fun doesn't mean I'm not hitting my targets!
Barrage,Decepticon,"Insectoid abilities, Combat skills, Firepower",Insecticon,https://tfwiki.net/mediawiki/images2/thumb/5/56/Barrage%28Autobot%29_cardart.jpg/300px-Barrage%28Autobot%29_cardart.jpg,"Barrage is a Decepticon Insecticon who transforms into a fearsome insectoid. He possesses the ability to generate powerful energy blasts and is known for his loyalty to the Decepticon cause. His combat skills make him a formidable opponent, often launching surprise attacks on Autobots.","Buzz, buzz, I'll sting you where it hurts!"
Soundwave,Decepticon,"Sound manipulation, Stealth, Espionage",Cassette Player,https://tfwiki.net/mediawiki/images2/thumb/d/d5/HHS-3-Soundwave.jpg/338px-HHS-3-Soundwave.jpg,"Soundwave is a cunning and calculating Decepticon who transforms into a cassette player. He has the ability to manipulate sound and gather intelligence through his cassette minions. His loyalty to Megatron is unwavering, and he often serves as a spy and communications officer for the Decepticons.","Soundwave superior, Autobots inferior."
Starscream,Decepticon,"Flight, Combat skills, Deceptive tactics",F-15 Jet,https://tfwiki.net/mediawiki/images2/thumb/7/79/Starscreamg1.jpg/410px-Starscreamg1.jpg,"Starscream is the treacherous second-in-command of the Decepticons, transforming into an F-15 jet. He is known for his ambition and desire to overthrow Megatron, often plotting against him. Despite his cunning, Starscream is also a skilled warrior, excelling in aerial combat.",I am the leader of the Decepticons! Just you wait!
Megatron,Decepticon,"Strength, Leadership, Combat prowess",Gun (Cannon),https://tfwiki.net/mediawiki/images2/thumb/9/99/Megatronguido.jpg/511px-Megatronguido.jpg,"Megatron is the ruthless leader of the Decepticons, transforming into a powerful gun. He is known for his immense strength and tactical brilliance, leading the Decepticons in their quest for conquest and domination. Megatron will stop at nothing to achieve his goals, often resorting to violence and intimidation.",Freedom is the right of all sentient beings—except Autobots.
Devastator,Decepticon,"Combining abilities, Strength, Destruction",Constructicon Combiner,https://tfwiki.net/mediawiki/images2/thumb/1/12/DevastatorManga1.jpg/426px-DevastatorManga1.jpg,"Devastator is a massive Decepticon combiner formed from the Constructicons. He is known for his overwhelming strength and destructive capabilities, often demolishing everything in his path. As a result of his size and power, Devastator is a force to be reckoned with on the battlefield.",Devastator smash! Nothing can stand in my way!
Thundercracker,Decepticon,"Flight, Combat skills, Sonic boom",F-15 Jet,https://tfwiki.net/mediawiki/images2/thumb/3/32/Thundercrackerg1guido.jpg/360px-Thundercrackerg1guido.jpg,"Thundercracker is a Decepticon seeker who transforms into an F-15 jet. He has the ability to create sonic booms and is known for his aerial combat skills. Though he is a loyal soldier, Thundercracker occasionally questions the Decepticon cause and his place within it.","Sometimes, I wonder what it's like to be an Autobot..."
Skywarp,Decepticon,"Teleportation, Flight, Combat skills",F-15 Jet,https://tfwiki.net/mediawiki/images2/thumb/d/de/Skywarp1.jpg/454px-Skywarp1.jpg,"Skywarp is a Decepticon seeker who transforms into an F-15 jet. He possesses the unique ability to teleport, allowing him to evade attacks and surprise his enemies. Skywarp is often seen as a mischievous and reckless warrior, enjoying his ability to confuse opponents in battle.","Where did I go? Oh, just somewhere else!"
Rumble,Decepticon,"Earthquake generation, Combat skills, Firepower",Cassette,https://tfwiki.net/mediawiki/images2/9/95/RumbleMissingInAction.jpg,Rumble is a Decepticon who transforms into a cassette tape. He is known for his ability to create powerful vibrations that can cause earthquakes. Rumble is fiercely loyal to Soundwave and often engages in combat with Autobots using his compact size and powerful weaponry.,"Let's rumble, punks!"
Vortex,Decepticon,"Flight, Combat skills, Stealth",Helicopter,https://tfwiki.net/mediawiki/images2/8/81/FOC-HMS-render-Vortex-robot_mode.jpg,"Vortex is a Decepticon who transforms into a helicopter. He is known for his speed and aerial combat skills, often using stealth to surprise his enemies. Vortex is a valuable asset to the Decepticons, as his ability to strike from above gives them a significant tactical advantage.","I'll swoop down and take you by surprise!"""""
Reflector,Decepticon,"Photography, Surveillance, Combat skills",Camera,https://tfwiki.net/mediawiki/images2/5/58/ReflectorG1.jpg,"Reflector is a Decepticon who transforms into a camera. He specializes in surveillance and reconnaissance, often gathering information for the Decepticons. Reflector is known for his ability to create three separate forms that work in unison to attack and confuse enemies, showcasing his unique skill set in battle.",Capture the moment—if you can!
Optimus Prime,Autobot,"Leadership, Strength, Strategy",Truck,https://tfwiki.net/mediawiki/images2/thumb/1/10/RIDPrime02.jpg/385px-RIDPrime02.jpg,"Optimus Prime is the noble leader of the Autobots. He stands as a paragon of justice, leading the Autobots against the Decepticons with wisdom and valor. His bravery and compassion inspire others, and he is deeply dedicated to the protection of life and freedom for all sentient beings.",Freedom is the right of all sentient beings.
Ironhide,Autobot,"Strength, Combat skills",Pickup Truck,https://tfwiki.net/mediawiki/images2/c/c6/Movie_Ironhide_promorender2.jpg,"Ironhide is one of the oldest and toughest Autobots. He's seen countless battles and thrives on action, preferring to solve problems with brute force. Ironhide's gruff personality hides a deep loyalty to his friends, especially Optimus Prime.","High tech? No thanks, just give me a good old-fashioned gun."
